171,Grado,6to,Clase 5,Las Obras de Teatro 2,https://onedrive.live.com/?authkey=%21AFbKBoD8Lfn874U&cid=699BD1D00975C7E6&id=699BD1D00975C7E6%21675&parId=699BD1D00975C7E6%21285&o=OneUp,2020-05-10,#
172,Grado,6to,Material,https://drive.google.com/file/d/1q6RiLQGlodlBwI4eOuC6XaR0FUoqdhYM/view,https://drive.google.com/file/d/1q0Igo-dkqpyZj-HVzwfkajQ-i1LkKmWA/view,2020-05-10,#
173,Ingles,6to,Ingreso a Classroom,Clave para accesar a la clase: laete23,https://edu.google.com/intl/es-419/products/classroom/?modal_active=none,2020-05-10,#
174,Ingles,6to,Lista de Videos en YouTube,Lista de Videos de Yotube para 6°,https://www.youtube.com/playlist?list=PLqKajQNuMdXiV-OchMBontozBZa7WGNWs,2020-05-10,#
175,Compu,6to,Clase 1,Introducción a la Electrónica,https://www.youtube.com/watch?v=4YchWFvmnTM&feature=youtu.be,2020-05-10,#
176,Compu,6to,Clase 2,Bits y Compuertas Lógicas,https://www.youtube.com/watch?v=5j2Csdzt8QM&feature=youtu.be,2020-05-10,#
177,Artes,6to,Máscara,Clase 6to mascara,https://www.youtube.com/watch?v=coESP99DNSg&t=12s,2020-05-10,#
178,Artes,6to,Elaboración de Carpeta,Elaboración de Carpeta,https://www.youtube.com/watch?v=WQVhvM92fUA&feature=youtu.be,2020-05-10,#
179,Artes,6to,Flores de Papel,Flores de Papel,https://www.youtube.com/watch?v=5wQ7B9gTGmQ&feature=youtu.be,2020-05-10,#
837,Grado,5to,CLASE VIRTUAL 4 ,"Unirse a la reunión Zoom
https://us04web.zoom.us/j/76781309389?pwd=dnUzR2JUdUd5emNCYmVwZXliUGN0dz09

 ID de reunión: 767 8130 9389
Contraseña: 8abZvd","",2020-06-15 10:13:23.028733,""
181,Grado,6to,Clase 2,El profesor Gerardo ha subido una serie de actividades para los niños de la escuela,https://www.youtube.com/watch?v=g95gimOb70M&feature=youtu.be,2020-05-10,#
874,Grado,5to,LEC- LA  POBRE VIEJECITA,"",https://www.youtube.com/watch?v=14v0GYF5Ryk,2020-06-18 13:30:39.844060,https://www.youtube.com/watch?v=14v0GYF5Ryk
183,Tae,6to,"",Video Sobre diferentes Actividades Físicas (Estos Videos Se actualizarán cada 2 semanas),https://www.youtube.com/channel/UCLwYcpnM4scb9BD5-8AGK-g,2020-05-10,#
278,Grado,6to,Correo electrónico,"",https://1drv.ms/u/s!AubHdQnQ0ZtphSNWygaA_C35_O-F,2020-05-12,https://1drv.ms/u/s!AubHdQnQ0ZtphSNWygaA_C35_O-F
162,Musica,5to,Clase 1,El temas es: Géneros en la música,https://www.youtube.com/watch?v=O7yuQ1Vk88s&feature=youtu.be,2020-05-10,#
163,Musica,5to,Clase 2,El tema es: Ejercicios rítmicos,https://www.youtube.com/watch?v=gcwJ-kfNZCs&feature=youtu.be,2020-05-10,#
344,Grado,5to,ACTIVIDADES   ESCOLARES  (11-14 -MAY),"",https://youtu.be/deh_ENJ0sHI,2020-05-14 09:15:54.025534,""
801,Musica,4to,Clase 8,Tema: el drama litúrgico,https://www.youtube.com/watch?v=KLl31Jd1Ioc,2020-06-10 19:29:36.509676,https://www.youtube.com/watch?v=KLl31Jd1Ioc
814,Ingles,K2,"Wednesday 10th, ZOOM CLASS K2","",https://www.youtube.com/watch?v=PBo26mQ9otA,2020-06-11 10:53:28.463043,https://www.youtube.com/watch?v=PBo26mQ9otA
185,Artes,6to,Homenaje dadaísta,Buenas días envío el link en donde viene como realizar el ejercicio de la semana. Al finalizar cada trabajo le pondrán nombre y fecha y lo guardaran en su carpeta. A si mismo le tomaran una foto y me la enviarán por este medio.  Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contará como el 60% de su calificación final. Quedo a sus órdenes,https://www.youtube.com/watch?v=XaLp_ftRlXY,2020-05-11,#
184,Ingles,6to,"Homework: Monday, May 11th,2020","Homework: Monday, May 11th,2020 En el cuaderno: Completar los enunciados según el estilo de vida de Kevin usando: too much    too many   enough, pueden imprimir y pegar la hoja en el cuaderno o solo copiar los enunciados 1.	Kevin eats ______________________fries He doesn´t eat __________________ vegetables 2.	Kevin drinks ________________soda He doesn´t drink ____________fruit juice 3.	Kevin watches ________________TV He doesn´t read _________________books 4.	Kevin plays ________________computer games He doesn’t get _______________ exercise  Tomar foto del ejercicio ya realizado y subirlo a classroom, gracias =D",#,2020-05-11,#
820,Ingles,2do,June15-Video clase6,"15 jun 2020 12:00 PM 
ID de reunión: 741 0302 3049
Contraseña: 4eLQDr",https://us04web.zoom.us/j/74103023049?pwd=SHhsOHlyeXZqd3NLdlRtYTQ3eUZhdz09,2020-06-14 16:40:25.208688,https://us04web.zoom.us/j/74103023049?pwd=SHhsOHlyeXZqd3NLdlRtYTQ3eUZhdz09
829,Artes,3ro,Ejercicio # 9 Nocturno,"Se invita a la clase de ZOOM para la elaboración del ejercicio. El día viernes 19 de junio de 2020 en un horario de 11:00 a 11:40.
Unirse a la reunión Zoom: https://us04web.zoom.us/j/9917161591?pwd=NEZwVHFUQStRNkNGTG1memlNYzhjZz09ID de reunión: 991 716 1591
Contraseña: 6N9CB2
MATERIALES
-Cuaderno de marquilla u hoja blanca
-Tijeras
-Pintura digital negra, morada y blanca. (o de los colores que tengan en casa)
-Esponja
-Papel periódico
-Pegamento
-Pincel 
-Franela o trapito viejo
-bata 
-cepillo de dientes viejito.
-Un cuadrito de hoja blanca de 5 x 5 
-Una ramita con muchas ramitas de aproximadamente 20cm de largo","",2020-06-14 22:17:07.435420,""
191,Ingles,5to,"Monday, May 11th,2020","En el cuaderno: imprimir y pegar o escribir los enunciados y resolver la actividad Date: .Tomar foto de la actividad terminada y subirla a classroom, he mandado un ejemplo en cada actividad, ver archivo en classroom, gracias =D",#,2020-05-11,#
192,Grado,K1,Profesor: Imelda KI,Concepto rápido-lento y ubicación en diferentes portadores de texto las letras u,https://youtu.be/ExialUkbSP4,2020-05-11,#
838,Grado,5to,LEC-  LA POBRE VIEJECITA,"Favorece la  lectura de  textos literarios en  voz  alta , la  creación  y construcción de  materiales de apoyo  para narrarlos ",https://youtu.be/14v0GYF5Ryk,2020-06-15 15:43:14.845087,https://youtu.be/14v0GYF5Ryk
195,Artes,4to,El enojo,Buenas días envío el link en donde viene como realizar el ejercicio de la semana. Al finalizar cada trabajo le pondrán nombre y fecha y lo guardaran en su carpeta. Recuerden elaborar su escrito en la parte posterior de la hoja cuando sale enojoncito y cuando se guarda. No se les olvide tomar una foto y enviarla por este medio. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Quedo a sus órdenes,https://www.youtube.com/watch?v=NFufaxSoO1k&t=85s,2020-05-11,#
186,Artes,5to,Collage,Buenos días chicos envío el link en donde viene como realizar el ejercicio de la semana. Al finalizar su trabajo le pondrán nombre y fecha de elaboración y lo guardaran en su carpeta. No se les olvide tomar una foto y enviarla por este medio. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Quedo a sus órdenes,https://www.youtube.com/watch?v=3ZWO4Z9AjiI,2020-05-11,#
190,Artes,3ro,El cuadrado,Buenas días envío el link en donde viene como realizar el ejercicio de la semana. Al finalizar cada trabajo le pondrán nombre y fecha y lo guardaran en su carpeta. Recuerden elaborar su escrito en la parte posterior de la hoja cuando sale enojoncito y cuando se guarda. No se les olvide tomar una foto y enviarla por este medio. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Quedo a sus órdenes,https://www.youtube.com/watch?v=_l3tOAg2W04&t=102s,2020-05-11,#
196,Grado,3ro,GUIA Y PLAN 11-15 MAYO,"",https://drive.google.com/open?id=1AZShX2jZ0T4m_g1Vu9XxINxMlOEiJdAT,2020-05-11,#
199,Grado,K3,SEMANA DEL 11 AL 15 DE MAYO,ACTIVIDADES SEMANA DEL 11 AL 15 DE MAYO K3,https://drive.google.com/open?id=14jFJoDDIbJy4Oxr35HYSeQpfbnhphPjk,2020-05-11,#
205,Musica,5to,Clase 4,El tema es: Los sonidos del silencio - escritura musical,https://www.youtube.com/watch?v=Qruc1TSuqz0,2020-05-11,#
204,Grado,K3,VIDEO CLASE 11 DE MAYO,CLASE 11 DE MAYO DE 2020,https://drive.google.com/open?id=1DQfXzu09f2LZdq7oHSBKs9s91eYzv7RN,2020-05-11,#
214,Grado,K2,Clase del 11 de mayo.,"",https://youtu.be/lh2D58sxYhk,2020-05-11,#
215,Grado,K2,Actividades 13 de mayo,Español y matemáticas,https://youtu.be/3ZFhFy3aZPg,2020-05-11,#
216,Grado,K2,14 de mayo,"",https://youtu.be/5dWFr6Kn2VS,2020-05-11,#
220,Grado,K1,INTRODUCCION A LA MEDIA ,"",https://www.youtube.com/watch?v=hEuD-9ATPYk&feature=youtu.be,2020-05-11,#
221,Grado,5to,INTRODUCCION A LA MEDIA ,"",https://www.youtube.com/watch?v=hEuD-9ATPYk&feature=youtu.be,2020-05-11,#
222,Ingles,K1,"Monday May 11th, 2020","tren, largo, corto, mochila, número 18, objetos de escuela canción, ¿qué es eso? canción",https://www.youtube.com/watch?v=nrQdzwdRcwo,2020-05-11,#
223,Ingles,K2,"Monday May 11th, 2020","camión, barco, avión, tren, izquierda, objetos de escuela canción, figuras y colores canción, ¿qué es eso? canción",https://www.youtube.com/watch?v=zBgKKmzaC58,2020-05-11,#
203,Musica,4to,Clase 4,"El temas es: Tambor apache, escritura musical.",https://www.youtube.com/watch?v=L-_p2XZp_AY,2020-05-11,#
206,Musica,6to,Clase 4,El tema es: Polirrítmia,https://www.youtube.com/watch?v=apJHZbc8Lqw,2020-05-11,#
200,Musica,1ro,Clase 4,El tema es: La música,https://www.youtube.com/watch?v=Sh9xR52WID8,2020-05-11,#
201,Musica,2do,Clase 4,El tema es: Negra o cuarto,https://www.youtube.com/watch?v=EEP5vImx1G4,2020-05-11,#
202,Musica,3ro,Clase 4,El tema es: Castañas calientes - escritura musical,https://www.youtube.com/watch?v=GVDPG8HlzRY,2020-05-11,#
207,Musica,K1,Clase 1,Tema: La pulga,https://www.youtube.com/watch?v=JDxLxLzb_2s,2020-05-11,#
208,Música,K2,Clase 1,Tema: Payasito tieso,https://www.youtube.com/watch?v=9qipIpcE3GU,2020-05-11,#
209,Música,K3,Clase 1,Tema: Chu chu chu,https://www.youtube.com/watch?v=mXMxRH95_W8,2020-05-11,#
224,Ingles,K3,"Monday May 11th, 2020","figuras concepto, acciones, Abril, letra L, letra M, objetos de escuela canción, figuras y colores canción, ¿qué es eso? canción",https://www.youtube.com/watch?v=_JXHWSU_5a8,2020-05-11,#
225,Ingles,4to,"","En el cuaderno: Copiar la información del video, incluyendo los dibujos. Tomar foto de lo realizado y subir a classroom por favor","",2020-05-11,#
226,Ingles,3ro,Activity 9,"",https://classroom.google.com/u/1/c/NzE0ODMzMDA2ODZa/a/MTAwNzMxNzYyNjc0/details,2020-05-11,#
227,Ingles,2do,"","",https://classroom.google.com/u/1/c/NzE0ODMzMDA2NTda/a/MTAwNzQ4MjczMDU4/details,2020-05-11,#
229,Grado,5to,Palabras  homófonas,"",https://www.youtube.com/watch?v=UrthdaWrs-w&feature=youtu.be,2020-05-11,#
230,Grado,5to,Mediana  de  una serie de datos,"",https://youtu.be/L6Bah1cc_98,2020-05-11,#
231,Grado,5to,Media  y  mediana II,"",https://youtu.be/D_DsMHSVAfU,2020-05-11,#
232,Grado,5to,ACTIVIDADES   ESCOLARES  (11-14 -MAY),"",https://studio.youtube.com/video/kHNVEn-_Bgk/edit,2020-05-11,#
875,Tae,4to,LAGARTIJAS,OBSERVA EL SIGUIENTE VIDEO,https://www.youtube.com/watch?v=E7Py9I8dxiQ,2020-07-27 13:05:54.349460,https://www.youtube.com/watch?v=wSKsc7S5w08
233,Grado,6to,Video ,Los espejos ,https://1drv.ms/u/s!AubHdQnQ0ZtphSTo8ydJDXULHxqb,2020-05-11,#
242,Artes,2do,Técnica de Cafe Soluble,Introducción y desarrollo Técnica de café soluble,https://www.youtube.com/watch?v=sGFd6BAmAe4,2020-05-11,#
244,Grado,K2,sosa,asd,asda,2020-05-11,sad
245,Grado,K1,Actividades,Act semanales ,https://drive.google.com/file/d/1MvEfhBr0zY7COImFhTFtXtX3bRijdUzA/view?usp=drivesdk,2020-05-12,#
248,Grado,K1 yu,"","","",2020-05-11,#
257,Ingles,5to,Videollamada 1,"",https://us04web.zoom.us/j/77153312349?pwd=K0VHSDFnS0ZDazZWNDU2ZWlDM2l0UT09,2020-05-12,""
250,Artes,2do,Líneas ,hola chicos buenos días. Envío la actividad de la semana. Recuerden enviar la foto de su trabajo vía Classroom. Quedo a sus ordenes para cualquier duda. No se les olvide poner nombre y fecha a su trabajo y guardarlo en su carpeta de artes. Saludos :)  ,https://www.youtube.com/watch?v=TQlgK91Wq-w,2020-05-12,#
251,Artes,1ro,Atardecer en colores primarios,hola chicos buenos días les envío el ejercicio de la semana. No se les olvide poner sus datos y fecha de elaboración en sus trabajos y guardarlos en su carpeta de artes .. Cualquier duda quedó a sus órdenes,https://www.youtube.com/watch?v=ZzOKkJ7fVM0,2020-05-12,#
252,Artes,K3,Texturas,"Buenas días papitos envío el link en donde viene cómo realizar el ejercicio de la semana, Al finalizar cada trabajo le pondrán nombre y fecha y lo guardarán en su carpeta. A si mismo le tomaran una foto y me la enviaran por classrom. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Que tengan un excelente día. Quedo a sus órdenes para cualquier duda ",https://www.youtube.com/watch?v=JWxm7LhqCbU,2020-05-12,#
253,Artes,K2,El sentido de la vista,"Buenas días papitos envío el link en donde viene cómo realizar el ejercicio de la semana, Al finalizar cada trabajo le pondrán nombre y fecha y lo guardarán en su carpeta. A si mismo le tomaran una foto y me la enviaran por classrom. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Que tengan un excelente día. Quedo a sus órdenes para cualquier duda ",https://www.youtube.com/watch?v=8l773C_OQeA&t=2s,2020-05-12,#
254,Artes,K1,El Tacto,"Buenas días papitos envío el link en donde viene cómo realizar el ejercicio de la semana, Al finalizar cada trabajo le pondrán nombre y fecha y lo guardarán en su carpeta. A si mismo le tomaran una foto y me la enviaran por classrom. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Que tengan un excelente día. Quedo a sus órdenes para cualquier duda ",https://www.youtube.com/watch?v=pvnKeix1Lis,2020-05-12,#
255,Artes,K2,El sentido de la vista,"Buenas días papitos envío el link en donde viene cómo realizar el ejercicio de la semana, Al finalizar cada trabajo le pondrán nombre y fecha y lo guardarán en su carpeta. A si mismo le tomaran una foto y me la enviaran por classrom. Es importante que guarden sus trabajos ya que al final se les pedirá su diario creativo y contara como el 60% de su calificación final. Que tengan un excelente día. Quedo a sus órdenes para cualquier duda ",https://www.youtube.com/watch?v=8l773C_OQeA&t=2s,2020-05-12,#
256,Ingles,6to,Videollamada 1,"",https://us04web.zoom.us/j/79485078693?pwd=Q0h6MGhRZ3hhWnc3dWh0aTROTmhEQT09,2020-05-12,""
258,Ingles,4to,Videollamada 1 ,"",https://us04web.zoom.us/j/76311459485?pwd=ZjFOYUwyMGlzMlliaDFyWlJOSlVhQT09,2020-05-12,""
259,Ingles,3ro,Videollamada 1 ,"",https://us04web.zoom.us/j/76877401058?pwd=N3VIUGloWitCMVAyNENuZ2VHSkR3Zz09,2020-05-12,""
260,Ingles,K1,"Tuesday May 12th, 2020","carro, número 19, rápido, lento, lápiz, canción de la familia, canción de las rutinas.",https://www.youtube.com/watch?v=4YjCwLg4eMU,2020-05-12,https://www.youtube.com/watch?v=4YjCwLg4eMU
261,Ingles,K2,"Tuesday May 12th, 2020","carro, helicóptero, motocicleta, autobús, derecha, canción de la familia, canción de las rutinas.",https://www.youtube.com/watch?v=JtzH18tuLo8,2020-05-12,https://www.youtube.com/watch?v=JtzH18tuLo8
262,Ingles,K3,"Tuesday May 12th, 2020","Deportes concepto, sentarse, brincar, Mayo, Letra N, Letra O, canción de la familia, canción de las rutinas.",https://www.youtube.com/watch?v=y1EiowGzNT4,2020-05-12,https://www.youtube.com/watch?v=y1EiowGzNT4
264,Grado,2do,material del 12 al 15 de mayo,"Hola Papás. Aquí les dejo el material para trabajar esta semana, cualquier duda pueden enviármela al correo. Que tengan una excelente semana ",https://youtu.be/hH0J8cTaCLQ ,2020-05-12,https://documentcloud.adobe.com/link/review?uri=urn%3Aaaid%3Ascds%3AUS%3A1dfc8d1d-b561-41f8-b57c-da988535e08d
265,Grado,2do,Actividades del 12 al 15 de mayo,"Hola Papás aquí les dejo el material para trabajar esta semana, cualquier duda pueden escribirme. Que tengan una excelente semana ","",2020-05-12,""
268,Grado,K1,Video llamada skype,Mostrar avances de germinador ,https://www.youtube.com/watch?v=ES7N8jmLQjY,2020-05-12,https://www.youtube.com/watch?v=ES7N8jmLQjY
269,Grado,6to,Los poemas,"",https://1drv.ms/u/s!AubHdQnQ0ZtphSIa2M4VjekDeJs_,2020-05-12,https://1drv.ms/u/s!AubHdQnQ0ZtphSIa2M4VjekDeJs_
271,Grado,6to,Obras de teatro ,"",https://1drv.ms/u/s!AubHdQnQ0ZtphSNWygaA_C35_O-F,2020-05-12,https://1drv.ms/u/s!AubHdQnQ0ZtphSNWygaA_C35_O-F
273,Grado,6to,Clase ,24 de abril,https://youtu.be/iK4R6b7pHlw,2020-05-12,https://youtu.be/iK4R6b7pHlw
275,Grado,6to,Clase zoom,"",https://1drv.ms/u/s!AubHdQnQ0ZtphSIa2M4VjekDeJs_,2020-05-12,https://1drv.ms/u/s!AubHdQnQ0ZtphSIa2M4VjekDeJs_
279,Grado,6to,Corre postal,"",https://drive.google.com/file/d/1QgT0tE1iOLOMfPh7sKz0uCFfObzO08_M/view?usp=drivesdk,2020-05-12,https://drive.google.com/file/d/1QgT0tE1iOLOMfPh7sKz0uCFfObzO08_M/view?usp=drivesdk
819,Ingles,1ro,June19- Video Clase 6,"19 jun 2020 01:30 PM ID de reunión: 744 4221 6348Contraseña: 3sEHjrPor las juntas he tenido que cambiar el día y hora de la clase, espero la mayoría pueda asistir",https://us04web.zoom.us/j/74442216348?pwd=bmtMRHE1SkVhSlQrcmFTdWlrUXF1UT09,2020-06-14 16:38:38.644451,""
333,Grado,4to,texto expositivo,14 DE MAYO DEL 2020,https://www.youtube.com/watch?v=rx3hQyhEUYo&feature=youtu.be,2020-05-14,https://www.youtube.com/watch?v=rx3hQyhEUYo&feature=youtu.be
69,Compu,K3,Tipos de puerto,Computación - Preescolar Prof: Edgar Suárez Tema: Tipos de Puertos,https://www.youtube.com/watch?v=CmuarKqNZgQ&feature=youtu.be,2020-05-10,https://drive.google.com/file/d/1UeWGGpjnjuDMRYIAV8jo9dRq4bSAcxMR/view?usp=sharing
281,Grado,6to,Actividades económicas ,Artículos de divulgación científica ,https://drive.google.com/file/d/1QgT0tE1iOLOMfPh7sKz0uCFfObzO08_M/view?usp=drivesdk,2020-05-13,https://drive.google.com/file/d/1QgT0tE1iOLOMfPh7sKz0uCFfObzO08_M/view?usp=drivesdk
282,Grado,1ro,La obra de teatro,"Español _ Realice una pequeña actuación de un personaje de su agrado o inventado favor de grabarse y tomarse una foto, puede usar vestuario del que tenga en casa o algún disfraz, aunque no sea del personaje.Corta una hoja de tu cuaderno, escribe las siguientes preguntas y responde, una vez terminada anéxala a tu carpeta de evidencias. ¿Por qué elegiste ese personaje?¿Cómo te sentiste al imitar el personaje?¿Te dio pena que te grabaran?¿Te gustaría representar una obra de teatro en tu colegio?¿Qué emociones tuviste al imitar al personaje?","",2020-05-13,""
288,Musica,4to,Clase 3,El tema es: Juglares y trovadores,https://www.youtube.com/watch?v=2WbiOqzfD7A,2020-05-13,https://www.youtube.com/watch?v=2WbiOqzfD7A
289,Musica,5to,Clase 3,El tema es: Adaptación de melodías,https://www.youtube.com/watch?v=2ok8z2WZ9AU,2020-05-13,https://www.youtube.com/watch?v=2ok8z2WZ9AU
290,Musica,6to,Clase 1,El tema es: Escritura musical - melodía,https://www.youtube.com/watch?v=IkHX4o3oRWk,2020-05-13,https://www.youtube.com/watch?v=IkHX4o3oRWk
291,Musica,6to,Clase 2,El tema es: Ejercicios rítmicos - ejecutar,https://www.youtube.com/watch?v=VJ0jFnRzJp4,2020-05-13,https://www.youtube.com/watch?v=VJ0jFnRzJp4
292,Musica,6to,Clase 3,El tema es: Ejercicios rítmicos - crear,https://www.youtube.com/watch?v=g95gimOb70M,2020-05-13,https://www.youtube.com/watch?v=g95gimOb70M
293,Grado,5to,FORMACIÓN CÍVICA  CLASE  2,MUESTRA LA   DIVERSIDAD  LINGÜÍSTICA Y CULTURAL  DE MÉXICO,https://www.youtube.com/watch?v=8o21lMrOmvo,2020-05-13,https://www.youtube.com/watch?v=8o21lMrOmvo
285,Musica,1ro,Clase 3,El tema es: Silencio de negra,https://www.youtube.com/watch?v=8w_udY2DG7w,2020-05-13,https://www.youtube.com/watch?v=8w_udY2DG7w
286,Musica,2do,Clase 3,El tema es: Instrumentos idiófonos,https://www.youtube.com/watch?v=jxciHW1z7Zw,2020-05-13,https://www.youtube.com/watch?v=jxciHW1z7Zw
107,Musica,2do,Clase 2,El tema es: Himno Nacional Mexicano,https://www.youtube.com/watch?v=4FoaT2ehB8Q&feature=youtu.be,2020-05-10,#
287,Musica,3ro,Clase 3,El tema es: Familia de percusiones,https://www.youtube.com/watch?v=yCnZQhDdi8I,2020-05-13,https://www.youtube.com/watch?v=yCnZQhDdi8I
294,Grado,K1,Video clase KI 13 de mayo,Igualdad de cantidad y localización de la letra u,https://youtu.be/5eQXcv3leqQ ,2020-05-13,https://youtu.be/5eQXcv3leqQ 
295,Grado,K1,Apoyo pedagógico KI 13 de mayo,sugerencias del día,https://youtu.be/mMT64lRw7Zs ,2020-05-13,https://youtu.be/mMT64lRw7Zs 
296,Grado,5to,CONJUGACIÓN DE  VERBOS -ESP 13,"",https://i9.ytimg.com/vi/6N4XV7FvWTA/mqdefault.jpg?time=1589381648706&sqp=CJiS8PUF&rs=AOn4CLDJAjZ2jb1fmGtNhzDUL2piRYcKSg,2020-05-13,https://i9.ytimg.com/vi/6N4XV7FvWTA/mqdefault.jpg?time=1589381648706&sqp=CJiS8PUF&rs=AOn4CLDJAjZ2jb1fmGtNhzDUL2piRYcKSg
297,Grado,5to,ESP.  13 - CONJUGACIÓN DE   VERBOS,"",https://www.youtube.com/watch?v=6N4XV7FvWTA,2020-05-13,https://www.youtube.com/watch?v=6N4XV7FvWTA
299,Grado,K3,VIDEO CLASE 13 DE MAYO K3,"",https://drive.google.com/file/d/1B2JeaN1OGq2aTgcfjO6LrK1IwKyUW2-f/view?usp=sharing,2020-05-13,""
300,Grado,K3,VIDEO CLASE 14 DE MAYO,"",https://drive.google.com/file/d/1MuvnWOJTZQFg4pKJWOZvilLJhaMN7cbC/view?usp=sharing,2020-05-13,""
335,Grado,4to,Fracciones equivalentes,14 DE MAYO DEL 2020,https://www.youtube.com/watch?v=HqIlfB-dDzY&feature=youtu.be,2020-05-14,https://www.youtube.com/watch?v=HqIlfB-dDzY&feature=youtu.be
336,Grado,1ro,Videollamada 2 ,Enlace para acceder a la videoClase,https://us04web.zoom.us/s/71516567304?status=success,2020-05-14,""
337,Ingles,2do,Richmond Spira,"Realizar plataforma de Richmond Spiral
UNIT 5 Activity 3 
Ordenar las letras (Meses del año)
No es necesario subir nada porque la plataforma de Richmond lo actualiza sola, por esa razón lo he colocado como material. 
---> Para los que no pudieron entrar a la videoclase se realizaron las páginas  67 y 69 (nos saltamos la 68)
El próximo LUNES 18 de mayo nos vemos por Zoom, a la 1pm.","",2020-05-14,""
338,Ingles,4to,Student's book page 69,"Hw: Sobre la misma actividad (Student''s book page 69)
En una hoja blanca suelta: Inventar su planeta y escribir la información que se pide, en la misma hoja del libro hay dos ejemplos, la actividad debe de estar en inglés, usar colores
Escribir nombre, grado y fecha (Thursday, May 14th, 2020)
Tomar foto de la actividad, subirla a classroom e incorporarla al folder de mis experiencias, por favor.","",2020-05-14,""
339,Ingles,5to,Student's book page 67.,"1.- Observa y enumera los enunciados con las imágenes de arriba
2.- Encierra el verb to be correcto (is- isn´t / plural-no countable) (are- aren''t - countable)
---------> Escuchar audio en google classroom, también lo pueden escuchar en su libro online <-----------
3.- Completa las quejas sobre la ciudad usando enough- much - many
Tomar foto de la actividad realizada y subirla aquí por favor. Tengan un buen fin de semana =)","",2020-05-14,""
340,Ingles,6to,"Thursday, May 14th, 2020"," Hw: En el cuaderno, copiar los enunciados con su número y traducir los enunciados
Thursday, May 14th, 2020
Homework:  Translate the sentences 
1.There are too many dogs
2.There is enough trees
3.There is too much clean air
4.There aren´t too many buildings
5.There isn´t enough water
6.There isn´t too much garbage
Tomar foto de los enunciados ya traducidos y subirlos a classroom =D tengan un buen fin de semana, nos vemos el próximo martes a las 12pm","",2020-05-14,""
341,Grado,K1,Video clase KI 14 de mayo,"Tema: ligero-pesado, y diferentes portadores de texto",https://youtu.be/Q47SUbTav3o ,2020-05-14 08:59:03.004501,https://youtu.be/Q47SUbTav3o 
343,Grado,K1,Apoyo pedagógico KI 14 de mayo,Apoyo pedagógico,https://youtu.be/UCpCCUjq68w ,2020-05-14 09:04:58.278178,https://youtu.be/UCpCCUjq68w 
346,Grado,K1,"Thursday May 14th, 2020","Camión, número 20, arriba y abajo, libro, lento y rápido canción.",https://www.youtube.com/watch?v=Nlg2joFAj6k,2020-05-14 10:03:02.677060,https://www.youtube.com/watch?v=Nlg2joFAj6k
347,Ingles,K1,"Thursday May 14th, 2020","Camión, número 20, arriba y abajo, libro, lento y rápido canción.",https://www.youtube.com/watch?v=Nlg2joFAj6k,2020-05-14 10:04:58.293629,https://www.youtube.com/watch?v=Nlg2joFAj6k
821,Ingles,3ro,June19-VideoClase6,"19 jun 2020 12:30 PM
ID de reunión: 724 5389 4730
Contraseña: 0fCW2t
Por las juntas he tenido que cambiar la fecha y hora de la clase, espero la mayoría pueda asistir",https://us04web.zoom.us/j/72453894730?pwd=Vy9saGk0SDZlUlpNNkZiRlJDQUJUQT09,2020-06-14 16:43:01.672659,https://us04web.zoom.us/j/72453894730?pwd=Vy9saGk0SDZlUlpNNkZiRlJDQUJUQT09
345,Ingles,K2,"Thursday May 14th, 2020","Juguetes, izquierda - derecha canción, puente de Londres canción.",https://www.youtube.com/watch?v=lFA9egdHjMI,2020-05-14 09:27:48.515681,https://www.youtube.com/watch?v=lFA9egdHjMI
342,Ingles,K3,"Thursday May 14th, 2020","Acciones, Junio, Letra P, Letra Q, Rutina canción, Puente de Londres canción.",https://www.youtube.com/watch?v=La6Z3TfyKec,2020-05-14 09:04:19.534561,https://www.youtube.com/watch?v=La6Z3TfyKec
348,Grado,5to,ACTIVIDADES  DE MAYO (11 AL  14),"",https://youtu.be/kHNVEn-_Bgk,2020-05-14 11:02:50.851046,https://youtu.be/kHNVEn-_Bgk
349,Grado,K1,Video llamada 15 de mayo,germinador,https://youtu.be/2jsKSol0PjA ,2020-05-15 09:50:36.911279,https://youtu.be/2jsKSol0PjA 
350,Grado,K1,Video llamada 15 de mayo 2,germidador ,https://youtu.be/yS3pVH6HTtQ ,2020-05-15 09:51:22.674525,https://youtu.be/yS3pVH6HTtQ 
876,Ingles,1ro,Tarea 1. Español ,"09Sep2020- Observa el video, copia la formación en el cuaderno, Toma foto del cuaderno y subela en espacio que le corresponde en classroom ",https://us04web.zoom.us/j/74103023049?pwd=SHhsOHlyeXZqd3NLdlRtYTQ3eUZhdz09,2020-07-30 21:59:33.789307,https://drive.google.com/file/d/1l8iHDoajF1r24lMWGk5hhbkhLIYCnIQo/view?usp=sharing
